question,soru,cevap,countAnswer,percentage
43,Hangi pedi kullanıyorsun?,Kotex,44771,0.354
43,Hangi pedi kullanıyorsun?,Orkid,39503,0.3123
43,Hangi pedi kullanıyorsun?,Molped,17359,0.1372
43,Hangi pedi kullanıyorsun?,Sleepy,15273,0.1208
43,Hangi pedi kullanıyorsun?,Diğer,9577,0.0757
46,Sence hamile kalmak için aşağıdakilerden hangisi en önemlisi?,Vücut sağlığının yerinde olması,141,0.5529
46,Sence hamile kalmak için aşağıdakilerden hangisi en önemlisi?,Beslenme tarzının dengeli ve yeterli olması,34,0.1333
46,Sence hamile kalmak için aşağıdakilerden hangisi en önemlisi?,Yaşam tarzının kaliteli olması,52,0.2039
46,Sence hamile kalmak için aşağıdakilerden hangisi en önemlisi?,Hekim tavsiyeleri,28,0.1098
47,Sence hamile kalmak için aşağıdakilerden hangisi en önemlisi?,Vücut sağlığının yerinde olması,15823,0.5777
47,Sence hamile kalmak için aşağıdakilerden hangisi en önemlisi?,Beslenme tarzının dengeli ve yeterli olması,3600,0.1314
47,Sence hamile kalmak için aşağıdakilerden hangisi en önemlisi?,Yaşam tarzının kaliteli olması,4978,0.1817
47,Sence hamile kalmak için aşağıdakilerden hangisi en önemlisi?,Hekim tavsiyeleri,2990,0.1092
48,"Hareketli günlerde, ve hatta spor yaparken rahatlıkla kullanabileceğin Kotex Active’i denedin mi?",Hayır,4,1
50,"Hareketli günlerde, ve hatta spor yaparken rahatlıkla kullanabileceğin Kotex Active’i denedin mi?","Evet, beğendim",30094,0.365
50,"Hareketli günlerde, ve hatta spor yaparken rahatlıkla kullanabileceğin Kotex Active’i denedin mi?","Evet, beğenmedim",7269,0.0882
50,"Hareketli günlerde, ve hatta spor yaparken rahatlıkla kullanabileceğin Kotex Active’i denedin mi?","Hayır, denemedim",45078,0.5468
51,Onca regl takvimi arasından neden ben? ?,A,9,1
52,Sence Türkiye’nin en uzun ve en geniş gece pedi hangisidir?,Kotex,47581,0.4611
52,Sence Türkiye’nin en uzun ve en geniş gece pedi hangisidir?,Orkid,29811,0.2889
52,Sence Türkiye’nin en uzun ve en geniş gece pedi hangisidir?,Molped,11283,0.1093
52,Sence Türkiye’nin en uzun ve en geniş gece pedi hangisidir?,Sleepy,10602,0.1027
52,Sence Türkiye’nin en uzun ve en geniş gece pedi hangisidir?,Diğer,3907,0.0379
53,Hangi gece pedini kullanıyorsun?,Kotex,42672,0.3668
53,Hangi gece pedini kullanıyorsun?,Orkid,36510,0.3138
53,Hangi gece pedini kullanıyorsun?,Molped,15248,0.1311
53,Hangi gece pedini kullanıyorsun?,Sleepy,13526,0.1163
53,Hangi gece pedini kullanıyorsun?,Diğer,8381,0.072
54,Hangi konuyla ilgili daha çok tavsiye vermemi istersin?,Astroloji ve burç yorumu,92058,0.4352
54,Hangi konuyla ilgili daha çok tavsiye vermemi istersin?,Meditasyon,21852,0.1033
54,Hangi konuyla ilgili daha çok tavsiye vermemi istersin?,Beslenme,38145,0.1803
54,Hangi konuyla ilgili daha çok tavsiye vermemi istersin?,Fit Kalma,59454,0.2811
55,Yaz ayları boyunca regl döneminde hangisini kullanmayı tercih ediyorsun?,Tampon,6376,0.0353
55,Yaz ayları boyunca regl döneminde hangisini kullanmayı tercih ediyorsun?,Ped,174175,0.9647
56,PepStore'un eğlenceli ve heyecanlı dünyasına katıldın mı tatlım?,"Eveeet, PepStore'da online'ım!",7156,0.3011
56,PepStore'un eğlenceli ve heyecanlı dünyasına katıldın mı tatlım?,"Aaa, öyle bir şeyden haberim yok?",16609,0.6989
57,She sembolü bir ped olsa markası ne olurdu?  ♀,Kotex,7,0.4118
57,She sembolü bir ped olsa markası ne olurdu?  ♀,Molped,5,0.2941
57,She sembolü bir ped olsa markası ne olurdu?  ♀,Sleepy,4,0.2353
57,She sembolü bir ped olsa markası ne olurdu?  ♀,Diğer,1,0.0588
58,"Dişilik sembolü ♀ bir ped olsa, markası ne olurdu sence?",Kotex,45089,0.4836
58,"Dişilik sembolü ♀ bir ped olsa, markası ne olurdu sence?",Orkid,24969,0.2678
58,"Dişilik sembolü ♀ bir ped olsa, markası ne olurdu sence?",Molped,10829,0.1162
58,"Dişilik sembolü ♀ bir ped olsa, markası ne olurdu sence?",Sleepy,8145,0.0874
58,"Dişilik sembolü ♀ bir ped olsa, markası ne olurdu sence?",Diğer,4196,0.045
59,En sevdiğin renk hangisi,Kırmızı,1,0.0769
59,En sevdiğin renk hangisi,Yeşil,3,0.2308
59,En sevdiğin renk hangisi,Mavi,3,0.2308
59,En sevdiğin renk hangisi,Sarı,2,0.1538
59,En sevdiğin renk hangisi,Beyaz,1,0.0769
59,En sevdiğin renk hangisi,Siyah,3,0.2308
62,Arkadaşa ihtiyaç duyanların omzuna yaslandığı kişiyim.,Evet,54787,0.8135
62,Arkadaşa ihtiyaç duyanların omzuna yaslandığı kişiyim.,Hayır,12563,0.1865
63,Bir tartışmada hemen teslim olmayı reddederim.,Evet,30122,0.7363
63,Bir tartışmada hemen teslim olmayı reddederim.,Hayır,10787,0.2637
64,Bence iyi bir film tek başına izlenmeli.,Evet,20873,0.5594
64,Bence iyi bir film tek başına izlenmeli.,Hayır,16437,0.4406
65,Başkalarının benim hakkımda ne düşündüklerini pek önemsemem.,Evet,18013,0.5799
65,Başkalarının benim hakkımda ne düşündüklerini pek önemsemem.,Hayır,13051,0.4201
66,Son derece pratik bir insanımdır.,Evet.,17430,0.6911
66,Son derece pratik bir insanımdır.,Hayır,7792,0.3089
67,Belirsizlik bana heyecan veriyor.,Evet,5927,0.2661
67,Belirsizlik bana heyecan veriyor.,Hayır,16343,0.7339
68,Hayatın müthiş bir gizem olduğunu düşünüyorum,Evet,34145,0.6515
68,Hayatın müthiş bir gizem olduğunu düşünüyorum,Hayır,18266,0.3485
70,Seninle aramızdaki bir gizemi daha çözelim diyorum; eğitim durumun nedir?,Lise,62872,0.3037
70,Seninle aramızdaki bir gizemi daha çözelim diyorum; eğitim durumun nedir?,Üniversite,119466,0.577
70,Seninle aramızdaki bir gizemi daha çözelim diyorum; eğitim durumun nedir?,Master/PhD,6900,0.0333
70,Seninle aramızdaki bir gizemi daha çözelim diyorum; eğitim durumun nedir?,Diger,17798,0.086
71,Herkes için söylenebilecek güzel bir sözüm vardır.,Evet,18438,0.7553
71,Herkes için söylenebilecek güzel bir sözüm vardır.,Hayır,5972,0.2447
72,Oldukça hassas bir insanım.,Evet,35089,0.8719
72,Oldukça hassas bir insanım.,Hayır,5157,0.1281
73,Bana göre düzensiz olmak bir kusurdur.,Evet,127866,0.4611
73,Bana göre düzensiz olmak bir kusurdur.,Hayır,149427,0.5389
74,Dikkatim çok kolay dağılır.,Evet,135096,0.7459
74,Dikkatim çok kolay dağılır.,Hayır,46030,0.2541
76,Alışverişte en önemli kriterim şudur: Popüler ve prestijli markaları satın almak.,Evet,16968,0.1753
76,Alışverişte en önemli kriterim şudur: Popüler ve prestijli markaları satın almak.,Hayır,79840,0.8247
75,Moda ikonu olmak benim için önemli bir şey.,Evet,38413,0.3021
75,Moda ikonu olmak benim için önemli bir şey.,Hayır,88737,0.6979
77,Moda değiştikçe gardırobum da değişir.,Evet,23530,0.2942
77,Moda değiştikçe gardırobum da değişir.,Hayır,56459,0.7058
78,Benim için gerçekler her zaman duygulardan önemlidir.,Evet,46221,0.6875
78,Benim için gerçekler her zaman duygulardan önemlidir.,Hayır,21013,0.3125
79,Genellikle en düşük fiyatlı ürünleri tercih ederim.,Evet,10862,0.3926
79,Genellikle en düşük fiyatlı ürünleri tercih ederim.,Hayır,16808,0.6074
80,Stres altında bile çalışmaya devam edebilirim.,Evet,68076,0.439
80,Stres altında bile çalışmaya devam edebilirim.,Hayır,86980,0.561
81,"Bu arada çalışmak demişken, sen çalışıyor musun?",Ev hanımıyım,41093,0.1668
81,"Bu arada çalışmak demişken, sen çalışıyor musun?",Çalışmıyorum / İş arıyorum,37505,0.1522
81,"Bu arada çalışmak demişken, sen çalışıyor musun?",Ögrenciyim Lise,35418,0.1437
81,"Bu arada çalışmak demişken, sen çalışıyor musun?",Ögrenciyim Üniversite,52562,0.2133
81,"Bu arada çalışmak demişken, sen çalışıyor musun?",Çalışıyorum,79852,0.324
82,"Bu arada çalışmak demişken, sen çalışıyor musun?",Çalışanım,54891,0.2912
82,"Bu arada çalışmak demişken, sen çalışıyor musun?",Uzmanım,4885,0.0259
82,"Bu arada çalışmak demişken, sen çalışıyor musun?",Yöneticiyim,3642,0.0193
82,"Bu arada çalışmak demişken, sen çalışıyor musun?",Direktör/GMY/GM/Firma Sahibiyim,822,0.0044
82,"Bu arada çalışmak demişken, sen çalışıyor musun?",Kendi işim var. (Esnaf/Sanatkar/Uzman Meslek),5786,0.0307
82,"Bu arada çalışmak demişken, sen çalışıyor musun?",Çalışmıyorum,118441,0.6284
83,Deodorant kullanıyor musun tatlım?,Evet,73025,0.8123
83,Deodorant kullanıyor musun tatlım?,Hayır,16877,0.1877
84,Satın almaya doyamadığım favori markalarım var.,Evet,26700,0.4372
84,Satın almaya doyamadığım favori markalarım var.,Hayır,34372,0.5628
86,"Piyango, loto, kazı kazan gibi şans oyunlarına mutlaka para ayırırım.",Evet,2597,0.0486
86,"Piyango, loto, kazı kazan gibi şans oyunlarına mutlaka para ayırırım.",Hayır,50807,0.9514
87,Her durumda soğukkanlı olan kazanır.,Evet,39015,0.7661
87,Her durumda soğukkanlı olan kazanır.,Hayır,11909,0.2339
88,Moda trendleri benden kaçmaz.,Evet,14361,0.3069
88,Moda trendleri benden kaçmaz.,Hayır,32437,0.6931
89,"Bir şeyler satın almayı önemsemem, aldığım şeyler üzerinde fazla düşünmem.",Evet,16256,0.3733
89,"Bir şeyler satın almayı önemsemem, aldığım şeyler üzerinde fazla düşünmem.",Hayır,27296,0.6267
90,"Hızlı alışveriş yapar, yeterince iyi bulduğum ilk şeyi hemen alırım.",Evet,61505,0.5565
90,"Hızlı alışveriş yapar, yeterince iyi bulduğum ilk şeyi hemen alırım.",Hayır,49016,0.4435
91,Bir ürün ne kadar pahalıysa o kadar kalitelidir.,Evet,8058,0.2022
91,Bir ürün ne kadar pahalıysa o kadar kalitelidir.,Hayır,31786,0.7978
92,Son sezon ürünlerden en az bir tane kıyafetim olur.,Evet,19114,0.4637
92,Son sezon ürünlerden en az bir tane kıyafetim olur.,Hayır,22109,0.5363
93,Bugün Nasılsın?,İyiyim,7,1
94,Black Friday'de hangi kategorideki indirimler ve kampanyalar seni daha çok heyecanlandırır?,Giyim,37206,0.4662
94,Black Friday'de hangi kategorideki indirimler ve kampanyalar seni daha çok heyecanlandırır?,Teknoloji,9655,0.121
94,Black Friday'de hangi kategorideki indirimler ve kampanyalar seni daha çok heyecanlandırır?,Lüks markalar,5312,0.0666
94,Black Friday'de hangi kategorideki indirimler ve kampanyalar seni daha çok heyecanlandırır?,Ayakkabı,16351,0.2049
94,Black Friday'de hangi kategorideki indirimler ve kampanyalar seni daha çok heyecanlandırır?,Aksesuar,11278,0.1413
95,"Kelebek bir günlük ped olsa, markası ne olurdu sence?",Kotex,24545,0.5038
95,"Kelebek bir günlük ped olsa, markası ne olurdu sence?",Orkid,12173,0.2499
95,"Kelebek bir günlük ped olsa, markası ne olurdu sence?",Molped,7367,0.1512
95,"Kelebek bir günlük ped olsa, markası ne olurdu sence?",Diğer,4633,0.0951
96,"Tüm regl dönemini tek bir ped ile geçirecek olsan, aşağıdakilerden hangisini seçerdin?",Günlük Pedler,5681,0.0534
96,"Tüm regl dönemini tek bir ped ile geçirecek olsan, aşağıdakilerden hangisini seçerdin?",Normal Ped,21201,0.1993
96,"Tüm regl dönemini tek bir ped ile geçirecek olsan, aşağıdakilerden hangisini seçerdin?",Uzun Ped,29739,0.2796
96,"Tüm regl dönemini tek bir ped ile geçirecek olsan, aşağıdakilerden hangisini seçerdin?",Gece Pedi,49754,0.4677
97,Hangi konularla ilgili daha çok tavsiye vermemi istersin?,Astroloji,100231,0.2017
97,Hangi konularla ilgili daha çok tavsiye vermemi istersin?,Kahve Falı,67397,0.1356
97,Hangi konularla ilgili daha çok tavsiye vermemi istersin?,Nefes Egzersizi,57653,0.116
97,Hangi konularla ilgili daha çok tavsiye vermemi istersin?,Yoga,40884,0.0823
97,Hangi konularla ilgili daha çok tavsiye vermemi istersin?,Meditasyon,61263,0.1233
97,Hangi konularla ilgili daha çok tavsiye vermemi istersin?,Fitness,58115,0.117
97,Hangi konularla ilgili daha çok tavsiye vermemi istersin?,Sağlıklı Beslenme,111310,0.224
98,Aşağıdaki ped markalarından hangisinin tasarımını daha çok beğeniyorsun?,Kotex,77055,0.4421
98,Aşağıdaki ped markalarından hangisinin tasarımını daha çok beğeniyorsun?,Orkid,52163,0.2993
98,Aşağıdaki ped markalarından hangisinin tasarımını daha çok beğeniyorsun?,Molped,28958,0.1661
98,Aşağıdaki ped markalarından hangisinin tasarımını daha çok beğeniyorsun?,Diğer,16120,0.0925
99,İyi bir gün geceden başlar. Regl döneminde kesintisiz bir gece uykusu için en yakın arkadaşın kim olurdu?,Regl Gece Külodu,11713,0.1151
99,İyi bir gün geceden başlar. Regl döneminde kesintisiz bir gece uykusu için en yakın arkadaşın kim olurdu?,Bariyerli Gece Pedi,13219,0.1299
99,İyi bir gün geceden başlar. Regl döneminde kesintisiz bir gece uykusu için en yakın arkadaşın kim olurdu?,Ultra Gece Pedi,49930,0.4907
99,İyi bir gün geceden başlar. Regl döneminde kesintisiz bir gece uykusu için en yakın arkadaşın kim olurdu?,Sıcak Su Torbası,26883,0.2642
100,Sağlığın için bu çok önemli: Düzenli hareket ediyor musun tatlım?,Evet!,51877,0.4321
100,Sağlığın için bu çok önemli: Düzenli hareket ediyor musun tatlım?,Hayır,68191,0.5679
101,Spor yapmaya üşenip evde neler yapabilirim diyenlerden misin?,Evet,115665,0.7433
101,Spor yapmaya üşenip evde neler yapabilirim diyenlerden misin?,Hayır,39939,0.2567
102,Hijyenik ped seçimini en çok hangisi etkiliyor? (Bu soruya birden fazla cevap verebilirsin.),%100 doğal materyal olması,18775,0.1586
102,Hijyenik ped seçimini en çok hangisi etkiliyor? (Bu soruya birden fazla cevap verebilirsin.),Sızdırmaması,36410,0.3076
102,Hijyenik ped seçimini en çok hangisi etkiliyor? (Bu soruya birden fazla cevap verebilirsin.),Uzunluğu,25813,0.2181
102,Hijyenik ped seçimini en çok hangisi etkiliyor? (Bu soruya birden fazla cevap verebilirsin.),Fiyatı,14885,0.1258
102,Hijyenik ped seçimini en çok hangisi etkiliyor? (Bu soruya birden fazla cevap verebilirsin.),Hangi marka olduğu,19119,0.1615
102,Hijyenik ped seçimini en çok hangisi etkiliyor? (Bu soruya birden fazla cevap verebilirsin.),Diğer,3367,0.0284
103,Regl döneminde huzursuz uyurum çünkü...,Pedimin sızdırmasından korkarım.,42383,0.4714
103,Regl döneminde huzursuz uyurum çünkü...,Hiçbir ped güvenebileceğim kadar uzun değil.,6042,0.0672
103,Regl döneminde huzursuz uyurum çünkü...,Kullandığım ped beni rahatsız hissettirir.,9882,0.1099
103,Regl döneminde huzursuz uyurum çünkü...,"Yoo, aslında regl döneminde huzurlu uyuyorum.",31597,0.3515
104,Regl dönemlerinde geceleri rahat uyumak için hangisi ilk tercihin olur?,Kotex Ultra Gece,60967,0.6722
104,Regl dönemlerinde geceleri rahat uyumak için hangisi ilk tercihin olur?,Kotex Gece Külodu,10113,0.1115
104,Regl dönemlerinde geceleri rahat uyumak için hangisi ilk tercihin olur?,Kotex Ultra Uzun,19619,0.2163
105,"Tatlım, gün içinde telefonuna gönderdiğim bildirimler hakkındaki fikrini benimle paylaşır mısın?",Çok seviyorum. Günümü güzelleştiriyor! ?,80272,0.8346
105,"Tatlım, gün içinde telefonuna gönderdiğim bildirimler hakkındaki fikrini benimle paylaşır mısın?",Güzel ama belki biraz daha az bildirim gönderebilirsin. ?,8877,0.0923
105,"Tatlım, gün içinde telefonuna gönderdiğim bildirimler hakkındaki fikrini benimle paylaşır mısın?",Göndermeni istemiyorum çünkü bu bildirimler bana göre değil. ?,1981,0.0206
105,"Tatlım, gün içinde telefonuna gönderdiğim bildirimler hakkındaki fikrini benimle paylaşır mısın?",Gönderdiğin bildirimlerin farkında bile değilim. ?,5047,0.0525
106,Doğum kontrol hapını hangi amaçla kullanıyorsun? (Birden fazla şık seçebilirsin.),Doğum kontrolü için,6758,0.0503
106,Doğum kontrol hapını hangi amaçla kullanıyorsun? (Birden fazla şık seçebilirsin.),Şiddetli regl kanaması için,2307,0.0172
106,Doğum kontrol hapını hangi amaçla kullanıyorsun? (Birden fazla şık seçebilirsin.),Regl ağrılarım için,4219,0.0314
106,Doğum kontrol hapını hangi amaçla kullanıyorsun? (Birden fazla şık seçebilirsin.),PKOS için,2936,0.0219
106,Doğum kontrol hapını hangi amaçla kullanıyorsun? (Birden fazla şık seçebilirsin.),Sivilce problemim için,2382,0.0177
106,Doğum kontrol hapını hangi amaçla kullanıyorsun? (Birden fazla şık seçebilirsin.),Regl öncesi gerginlik sendromu için,2128,0.0158
106,Doğum kontrol hapını hangi amaçla kullanıyorsun? (Birden fazla şık seçebilirsin.),Diğer,3998,0.0298
106,Doğum kontrol hapını hangi amaçla kullanıyorsun? (Birden fazla şık seçebilirsin.),Doğum kontrol hapı kullanmıyorum,109581,0.8159
107,"Çevrendeki insanlara Pepapp’ı tavsiye eder misin? 1’den 5’e sevgi yükseliyor, seç birini bakalım!","5: Evet, kesinlikle tavsiye ederim!",112943,0.6747
107,"Çevrendeki insanlara Pepapp’ı tavsiye eder misin? 1’den 5’e sevgi yükseliyor, seç birini bakalım!",4: Tavsiye ederim…,41532,0.2481
107,"Çevrendeki insanlara Pepapp’ı tavsiye eder misin? 1’den 5’e sevgi yükseliyor, seç birini bakalım!","3: Emin değilim, bilemedim.",9582,0.0572
107,"Çevrendeki insanlara Pepapp’ı tavsiye eder misin? 1’den 5’e sevgi yükseliyor, seç birini bakalım!",2: Tavsiye etmem herhalde ya…,1825,0.0109
107,"Çevrendeki insanlara Pepapp’ı tavsiye eder misin? 1’den 5’e sevgi yükseliyor, seç birini bakalım!",1: Kesinlikle tavsiye etmem! O ne öyle!,1522,0.0091
108,"Konu doğallık olunca, hangisine daha yakın hissediyorsun?",Orkid,9841,0.2329
108,"Konu doğallık olunca, hangisine daha yakın hissediyorsun?",Kotex,20858,0.4937
108,"Konu doğallık olunca, hangisine daha yakın hissediyorsun?",Molped,5746,0.136
108,"Konu doğallık olunca, hangisine daha yakın hissediyorsun?",Sleepy,5803,0.1374
109,Aşağıdakilerden hangisi senin beslenme biçimini tanımlar?,Vegan: Hayvansal gıda tüketmiyorum.,2319,0.0154
109,Aşağıdakilerden hangisi senin beslenme biçimini tanımlar?,Yarı Vejetaryen: Hayvansal gıdalardan yalnızca et ve et ürünlerini tüketmiyorum.,6850,0.0455
109,Aşağıdakilerden hangisi senin beslenme biçimini tanımlar?,Lakto-Vejetaryen: Hayvansal gıdalardan yalnızca süt ve süt ürünlerini tüketiyorum.,1936,0.0129
109,Aşağıdakilerden hangisi senin beslenme biçimini tanımlar?,"Lakto-ovo-Vejetaryen: Yalnızca süt, süt ürünleri ve yumurta tüketiyorum.",1819,0.0121
109,Aşağıdakilerden hangisi senin beslenme biçimini tanımlar?,"Pesko Vejeteryen: Et ve tavuk ürünlerini yemem. Balık, süt ürünleri ve yumurta yiyorum.",3136,0.0208
